state,species,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
WA,Other species,34,57,95,94,246,359,316,58,82,397,511,508,896,"1,179","1,208",720,799,455,"1,112",31,20,17
WA,Goldfish and European carp, na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na 
WA,Ornamental species, na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na 
WA,Other aquaculture, na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na 
WA,Total,921,993,"1,312",986,"1,020","1,243",975,943,857,990,"1,041","1,115","1,332","1,598","1,522",971,"1,014",729,"1,352",127,"2,508","1,732"
TAS,Salmonids,"9,195","10,907","12,724","14,292","13,603","14,828","15,148","19,219","23,975","24,428","29,016","30,950","35,685","43,249","41,762","40,405","47,184","54,772","51,298","60,048","56,989","65,800"
TAS,Oysters,"2,202","2,493","2,272","2,188","2,228","2,456","2,465","2,389","3,320","3,588","3,689","3,848","3,890","3,901","3,301","3,386","3,366","3,029","3,004","2,976","3,098","2,883"
TAS,Blue Mussel,236,239,216,217,309,357,696,988,693,746,"1,087",982,566,"1,216","1,041",749,941,575,729,602,744,572
TAS,Abalone, na , na , na , na , -   ,43,89,95,152,171,245,170,173,97,123,64,80,81,87,103,183,264
TAS,Other, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
TAS,Total,"11,633","13,639","15,211","16,697","16,140","17,684","18,398","22,691","28,139","28,933","34,037","35,950","40,314","48,463","46,227","44,604","51,570","58,458","55,119","63,729","61,014","69,519"
NT,Barramundi,na,na,na,na,na,na,na,na,na,na,na,699,651,881,na,na,na,na,na,2342,na,na
NT,Pearl Oyster,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
NT,Other aquaculture,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,815,1011,na,na,na,na,na
NT,Total,na,na,na,na,na,na,na,na,na,na,na,699,651,881,na,815,1011,na,na,2342,na,na
ACT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
