year,status,freq,sum,prop
2012,sustainable,106,164,0.6463414634146342
2012,recovering,8,164,0.04878048780487805
2012,depleting,2,164,0.012195121951219513
2012,depeleted,2,164,0.012195121951219513
2012,undefined,46,164,0.2804878048780488
2014,sustainable,138,253,0.5454545454545454
2014,recovering,7,253,0.02766798418972332
2014,depleting,18,253,0.07114624505928854
2014,depeleted,16,253,0.06324110671936758
2014,undefined,74,253,0.2924901185770751
2016,sustainable,189,315,0.6
2016,recovering,9,315,0.02857142857142857
2016,depleting,27,315,0.08571428571428572
2016,depeleted,24,315,0.0761904761904762
2016,undefined,53,315,0.16825396825396827
2016,neglible,13,315,0.04126984126984127
2018,sustainable,264,423,0.624113475177305
2018,recovering,19,423,0.04491725768321513
2018,depleting,23,423,0.054373522458628844
2018,depeleted,30,423,0.07092198581560284
2018,undefined,58,423,0.13711583924349882
2018,neglible,29,423,0.06855791962174941
2020,sustainable,308,482,0.6390041493775933
2020,recovering,16,482,0.03319502074688797
2020,depleting,17,482,0.035269709543568464
2020,depeleted,36,482,0.07468879668049792
2020,undefined,69,482,0.14315352697095435
2020,neglible,36,482,0.07468879668049792
